id,type,group,name
209,7,mag,x
210,7,mag,y
211,7,mag,z
212,7,stabilizer,roll
213,7,stabilizer,pitch
214,7,stabilizer,yaw
215,7,stabilizer,thrust
216,7,stabilizer,rtStab
217,3,stabilizer,intToOut
218,7,stateEstimate,x
219,7,stateEstimate,y
220,7,stateEstimate,z
221,7,stateEstimate,vx
222,7,stateEstimate,vy
223,7,stateEstimate,vz
224,7,stateEstimate,ax
225,7,stateEstimate,ay
226,7,stateEstimate,az
227,7,stateEstimate,roll
228,7,stateEstimate,pitch
229,7,stateEstimate,yaw
230,7,stateEstimate,qx
231,7,stateEstimate,qy
232,7,stateEstimate,qz
233,7,stateEstimate,qw
234,5,stateEstimateZ,x
235,5,stateEstimateZ,y
236,5,stateEstimateZ,z
237,5,stateEstimateZ,vx
238,5,stateEstimateZ,vy
239,5,stateEstimateZ,vz
240,5,stateEstimateZ,ax
241,5,stateEstimateZ,ay
242,5,stateEstimateZ,az
243,3,stateEstimateZ,quat
244,5,stateEstimateZ,rateRoll
245,5,stateEstimateZ,ratePitch
246,5,stateEstimateZ,rateYaw
247,2,supervisor,info
248,1,sys,canfly
249,1,sys,isFlying
250,1,sys,isTumbled
251,4,sys,testLogParam
252,7,tdoaEngine,stRx
253,7,tdoaEngine,stEst
254,7,tdoaEngine,stTime
255,7,tdoaEngine,stFound
256,7,tdoaEngine,stCc
257,7,tdoaEngine,stHit
258,7,tdoaEngine,stMiss
259,7,tdoaEngine,cc
260,2,tdoaEngine,tof
261,7,tdoaEngine,tdoa
262,7,kalman_pred,predNX
263,7,kalman_pred,predNY
264,7,kalman_pred,measNX
265,7,kalman_pred,measNY
266,1,lighthouse,validAngles
267,7,lighthouse,rawAngle0x
268,7,lighthouse,rawAngle0y
269,7,lighthouse,rawAngle1x
270,7,lighthouse,rawAngle1y
271,7,lighthouse,angle0x
272,7,lighthouse,angle0y
273,7,lighthouse,angle1x
274,7,lighthouse,angle1y
275,7,lighthouse,angle0x_1
276,7,lighthouse,angle0y_1
277,7,lighthouse,angle1x_1
278,7,lighthouse,angle1y_1
279,7,lighthouse,angle0x_2
280,7,lighthouse,angle0y_2
281,7,lighthouse,angle1x_2
282,7,lighthouse,angle1y_2
283,7,lighthouse,angle0x_3
284,7,lighthouse,angle0y_3
285,7,lighthouse,angle1x_3
286,7,lighthouse,angle1y_3
287,7,lighthouse,rawAngle0xlh2
288,7,lighthouse,rawAngle0ylh2
289,7,lighthouse,rawAngle1xlh2
290,7,lighthouse,rawAngle1ylh2
291,7,lighthouse,angle0x_0lh2
292,7,lighthouse,angle0y_0lh2
293,7,lighthouse,angle1x_0lh2
294,7,lighthouse,angle1y_0lh2
295,2,lighthouse,width0
296,2,lighthouse,width1
297,2,lighthouse,width2
298,2,lighthouse,width3
299,1,lighthouse,comSync
300,2,lighthouse,bsAvailable
301,2,lighthouse,bsReceive
302,2,lighthouse,bsActive
303,2,lighthouse,bsCalUd
304,2,lighthouse,bsCalCon
305,1,lighthouse,status
306,7,lighthouse,posRt
307,7,lighthouse,estBs0Rt
308,7,lighthouse,estBs1Rt
309,7,lighthouse,x
310,7,lighthouse,y
311,7,lighthouse,z
312,7,lighthouse,delta
313,2,lighthouse,bsGeoVal
314,2,lighthouse,bsCalVal
315,7,lighthouse,disProb
316,7,pid_attitude,roll_outP
317,7,pid_attitude,roll_outI
318,7,pid_attitude,roll_outD
319,7,pid_attitude,roll_outFF
320,7,pid_attitude,pitch_outP
321,7,pid_attitude,pitch_outI
322,7,pid_attitude,pitch_outD
323,7,pid_attitude,pitch_outFF
324,7,pid_attitude,yaw_outP
325,7,pid_attitude,yaw_outI
326,7,pid_attitude,yaw_outD
327,7,pid_attitude,yaw_outFF
328,7,pid_rate,roll_outP
329,7,pid_rate,roll_outI
330,7,pid_rate,roll_outD
331,7,pid_rate,roll_outFF
332,7,pid_rate,pitch_outP
333,7,pid_rate,pitch_outI
334,7,pid_rate,pitch_outD
335,7,pid_rate,pitch_outFF
336,7,pid_rate,yaw_outP
337,7,pid_rate,yaw_outI
338,7,pid_rate,yaw_outD
339,7,pid_rate,yaw_outFF
340,7,ctrlINDI,cmd_thrust
341,7,ctrlINDI,cmd_roll
342,7,ctrlINDI,cmd_pitch
343,7,ctrlINDI,cmd_yaw
344,7,ctrlINDI,r_roll
345,7,ctrlINDI,r_pitch
346,7,ctrlINDI,r_yaw
347,7,ctrlINDI,u_act_dyn_p
348,7,ctrlINDI,u_act_dyn_q
349,7,ctrlINDI,u_act_dyn_r
350,7,ctrlINDI,du_p
351,7,ctrlINDI,du_q
352,7,ctrlINDI,du_r
353,7,ctrlINDI,ang_accel_ref_p
354,7,ctrlINDI,ang_accel_ref_q
355,7,ctrlINDI,ang_accel_ref_r
356,7,ctrlINDI,rate_d[0]
357,7,ctrlINDI,rate_d[1]
358,7,ctrlINDI,rate_d[2]
359,7,ctrlINDI,uf_p
360,7,ctrlINDI,uf_q
361,7,ctrlINDI,uf_r
362,7,ctrlINDI,Omega_f_p
363,7,ctrlINDI,Omega_f_q
364,7,ctrlINDI,Omega_f_r
365,7,ctrlINDI,n_p
366,7,ctrlINDI,n_q
367,7,ctrlINDI,n_r
368,7,ctrlMel,cmd_thrust
369,7,ctrlMel,cmd_roll
370,7,ctrlMel,cmd_pitch
371,7,ctrlMel,cmd_yaw
372,7,ctrlMel,r_roll
373,7,ctrlMel,r_pitch
374,7,ctrlMel,r_yaw
375,7,ctrlMel,accelz
376,7,ctrlMel,zdx
377,7,ctrlMel,zdy
378,7,ctrlMel,zdz
379,7,ctrlMel,i_err_x
380,7,ctrlMel,i_err_y
381,7,ctrlMel,i_err_z
382,7,posCtrlIndi,posRef_x
383,7,posCtrlIndi,posRef_y
384,7,posCtrlIndi,posRef_z
385,7,posCtrlIndi,velS_x
386,7,posCtrlIndi,velS_y
387,7,posCtrlIndi,velS_z
388,7,posCtrlIndi,velRef_x
389,7,posCtrlIndi,velRef_y
390,7,posCtrlIndi,velRef_z
391,7,posCtrlIndi,angS_roll
392,7,posCtrlIndi,angS_pitch
393,7,posCtrlIndi,angS_yaw
394,7,posCtrlIndi,angF_roll
395,7,posCtrlIndi,angF_pitch
396,7,posCtrlIndi,angF_yaw
397,7,posCtrlIndi,accRef_x
398,7,posCtrlIndi,accRef_y
399,7,posCtrlIndi,accRef_z
400,7,posCtrlIndi,accS_x
401,7,posCtrlIndi,accS_y
402,7,posCtrlIndi,accS_z
403,7,posCtrlIndi,accF_x
404,7,posCtrlIndi,accF_y
405,7,posCtrlIndi,accF_z
406,7,posCtrlIndi,accFT_x
407,7,posCtrlIndi,accFT_y
408,7,posCtrlIndi,accFT_z
409,7,posCtrlIndi,accErr_x
410,7,posCtrlIndi,accErr_y
411,7,posCtrlIndi,accErr_z
412,7,posCtrlIndi,phi_tilde
413,7,posCtrlIndi,theta_tilde
414,7,posCtrlIndi,T_tilde
415,7,posCtrlIndi,T_inner
416,7,posCtrlIndi,T_inner_f
417,7,posCtrlIndi,T_incremented
418,7,posCtrlIndi,cmd_phi
419,7,posCtrlIndi,cmd_theta
420,7,posCtl,targetVX
421,7,posCtl,targetVY
422,7,posCtl,targetVZ
423,7,posCtl,targetX
424,7,posCtl,targetY
425,7,posCtl,targetZ
426,7,posCtl,bodyVX
427,7,posCtl,bodyVY
428,7,posCtl,bodyX
429,7,posCtl,bodyY
430,7,posCtl,Xp
431,7,posCtl,Xi
432,7,posCtl,Xd
433,7,posCtl,Xff
434,7,posCtl,Yp
435,7,posCtl,Yi
436,7,posCtl,Yd
437,7,posCtl,Yff
438,7,posCtl,Zp
439,7,posCtl,Zi
440,7,posCtl,Zd
441,7,posCtl,Zff
442,7,posCtl,VXp
443,7,posCtl,VXi
444,7,posCtl,VXd
445,7,posCtl,VXff
446,7,posCtl,VYp
447,7,posCtl,VYi
448,7,posCtl,VYd
449,7,posCtl,VYff
450,7,posCtl,VZp
451,7,posCtl,VZi
452,7,posCtl,VZd
453,7,posCtl,VZff
454,7,kalman,stateX
455,7,kalman,stateY
456,7,kalman,stateZ
457,7,kalman,statePX
458,7,kalman,statePY
459,7,kalman,statePZ
460,7,kalman,stateD0
461,7,kalman,stateD1
462,7,kalman,stateD2
463,7,kalman,varX
464,7,kalman,varY
465,7,kalman,varZ
466,7,kalman,varPX
467,7,kalman,varPY
468,7,kalman,varPZ
469,7,kalman,varD0
470,7,kalman,varD1
471,7,kalman,varD2
472,7,kalman,q0
473,7,kalman,q1
474,7,kalman,q2
475,7,kalman,q3
476,7,kalman,rtUpdate
477,7,kalman,rtPred
478,7,kalman,rtFinal
479,6,outlierf,lhWin
480,7,estimator,rtApnd
481,7,estimator,rtRej
482,7,posEstAlt,estimatedZ
483,7,posEstAlt,estVZ
484,7,posEstAlt,velocityZ
485,1,DTR_P2P,rx_state
486,1,DTR_P2P,tx_state
